m.z. export,Name
m.z.409.235,LPA(16:0)
m.z.421.267,LPA(P-18:0)
m.z.435.251,LPA(18:1)
m.z.437.267,LPA(18:0)
m.z.450.261,LPE(16:1)
m.z.452.278,LPE(16:0)
m.z.457.235,LPA(20:4)
m.z.465.31,LPE(P-18:0)
m.z.476.278,LPE(18:2)
m.z.478.293,LPE(18:1)
m.z.480.309,LPE(18:0)
m.z.481.237,LPA(22:6)
m.z.500.278,LPE(20:4)
m.z.502.289,LPE(20:3)
m.z.504.309,LPE(20:2)
m.z.506.325,LPE(20:1)
m.z.508.303,LPS(P-18:0)
m.z.508.338,LPE(20:0)
m.z.522.282,LPS(18:1)
m.z.524.278,LPE(22:6)
m.z.526.288,LPE(22:5)
m.z.528.308,LPE(22:4)
m.z.534.357,LPE(22:1)
m.z.552.272,PE(23:6)
m.z.556.339,LPE(24:4)
m.z.568.27,LPS(22:6)
m.z.571.288,LPI(16:0)
m.z.599.319,LPI(18:0)
m.z.619.288,LPI(20:4)
m.z.647.465,PA(32:0)
m.z.671.463,PA(34:2)
m.z.673.48,PA(34:1)
m.z.675.49,PA(34:0)
m.z.695.463,PA(36:4)
m.z.697.478,PA(36:3)
m.z.699.496,PA(36:2)
m.z.701.51,PA(36:1)
m.z.702.515,LPE(34:1)
m.z.714.508,PE(34:2)
m.z.716.522,PE(34:1)
m.z.718.537,PE(34:0)
m.z.719.464,PA(38:6)
m.z.721.481,PA(38:5)
m.z.723.496,PA(38:4)
m.z.724.499,PE(O-36:4)
m.z.725.509,PA(38:3)
m.z.727.534,PA(38:2)
m.z.729.549,PA(38:1)
m.z.730.542,PE(O-36:1)
m.z.738.503,PE(36:4)
m.z.740.516,PE(36:3)
m.z.742.537,PE(36:2)
m.z.744.552,PE(36:1)
m.z.746.511,PE(P-38:6)
m.z.746.562,PE(36:0)
m.z.747.496,PA(40:6)
m.z.748.501,PE(O-38:6)
m.z.751.533,PA(40:4)
m.z.755.569,PA(40:2)
m.z.757.578,PA(40:1)
m.z.760.51,PE(38:7)
m.z.762.505,PE(38:6)
m.z.766.537,PE(38:4)
m.z.770.565,PE(38:2)
m.z.772.583,PE(38:1)
m.z.773.527,PA(42:7)
m.z.774.541,PE(P-40:6)
m.z.782.532,PS(O-37:4)
m.z.785.602,PA(42:1)
m.z.786.526,PE(40:8)
m.z.788.536,PE(40:7)
m.z.790.536,PE(40:6)
m.z.794.563,PE(40:4)
m.z.795.498,PA(44:10)
m.z.809.51,PI(32:0)
m.z.810.526,PS(38:4)
m.z.811.528,PA(45:9)
m.z.812.535,PS(38:3)
m.z.814.548,PE(42:8)
m.z.816.567,PE(42:7)
m.z.818.568,PE(42:6)
m.z.819.515,PG(40:7)
m.z.833.513,PI(34:2)
m.z.834.526,PS(40:6)
m.z.837.54,PI(34:0)
m.z.838.554,PE(44:10)
m.z.847.645,PG(41:0)
m.z.857.516,PI(36:4)
m.z.860.636,PS(41:0)
m.z.863.563,PI(36:1)
m.z.878.493,PS(44:12)
m.z.881.513,PI(38:6)
m.z.913.577,PI(40:4)
m.z.965.514,PIP(38:4)
